City Name,Zone Name,Ward Name,Ward No.,Total no. of registered voters,No. of votes polled in the last municipal election,No. of Polling Stations / booths
Pune,NA,Kalas Dhanori,1,62810,34866,79
Pune,NA,Phule Nagar Nagpur Chawl,2,69828,37170,94
Pune,NA,Viman nagar Somnath nagar,3,68934,31708,89
Pune,NA,Kharadi Chandanagar,4,71006,36112,92
Pune,NA,Vadagaon SheriKalyaninagar,5,57370,29483,77
Pune,NA,Yerawada,6,75114,42193,95
Pune,NA,Pune University Wakadewadi,7,76727,42697,101
Pune,NA,Aundh Bopodi,8,89643,42853,117
Pune,NA,Baner Balevadi Pashan,9,94076,51809,120
Pune,NA,Bavdhan Kothrud Depot,10,62029,36080,82
Pune,NA,Rambaug Colony Shivtirtha Nagar,11,68134,38100,86
Pune,NA,Mayur Colony Dahanukar Colony,12,70586,39703,89
Pune,NA,Erandwana Happy Colony,13,63355,35531,82
Pune,NA,Deccan Gymkhana Model Colony ,14,82905,44673,110
Pune,NA,Shaniwar Peth Sadashiv Peth,15,70030,43801,93
Pune,NA,Kasba Peth Somwar Peth,16,60550,37623,80
Pune,NA,Rasta Peth Raviwar Peth,17,69933,41616,91
Pune,NA,Khadakmal Aali Mahatma Phule Peth,18,67110,38462,86
Pune,NA,Lohiyanagar Kasewadi,19,58937,32708,75
Pune,NA,Tadiwala Road Sasoon Hospital,20,57122,30659,74
Pune,NA,Koregaon Park Ghorpadi,21,62652,32388,81
Pune,NA,Mundhwa Magarpatta City,22,56403,33080,74
Pune,NA,Hadapsar Gaothan Satavwadi,23,65592,38869,84
Pune,NA,Ramtekdi Sayyadnagar,24,51867,27484,67
Pune,NA,Wanwadi,25,53795,26491,71
Pune,NA,Mohammadwadi Kausar Baug,26,58033,27476,75
Pune,NA,Kondhwa Khurd Meetha Nagar,27,50800,24390,60
Pune,NA,Salisbury Park Maharshi Nagar,28,63117,33780,82
Pune,NA,Navi Peth Parvati,29,66620,39726,92
Pune,NA,Janata Vasahat Dattawadi,30,61165,36608,75
Pune,NA,Karve Nagar,31,59086,34922,81
Pune,NA,Warje Malwadi,32,65913,37180,88
Pune,NA,Vadgaon Dhayari Vadgaon Budruk,33,59287,35547,79
Pune,NA,Suncity Hingane khurd,34,62377,34407,83
Pune,NA,Sahakar nagar Padmavati,35,76466,44896,99
Pune,NA,Marketyard Lower Indira Nagar,36,60373,32806,80
Pune,NA,Upper Super Indira Nagar,37,40503,23543,48
Pune,NA,Balajinagar Rajiv Gandhi Nagar,38,65007,34357,87
Pune,NA,Dhankavadi Ambegaon Pathar,39,50152,30156,69
Pune,NA,Ambegaon Dattanagar Katraj Gaothan,40,61413,36596,87
Pune,NA,Kondhwa Budruk Yewalewadi,41,47980,29831,57
